gene,lable
hsa-miR-4790-5p,1
hsa-miR-4791,1
hsa-miR-4792,1
hsa-miR-4793-5p,1
hsa-miR-4794,1
hsa-miR-4795-5p,1
hsa-miR-4796-5p,1
hsa-miR-4797-5p,1
hsa-miR-4798-5p,1
hsa-miR-4799-5p,1
hsa-miR-4800-5p,1
hsa-miR-4801,1
hsa-miR-4802-5p,1
hsa-miR-4803,1
hsa-miR-4804-5p,1
hsa-miR-483-5p,1
hsa-miR-484,1
hsa-miR-485-5p,1
hsa-miR-486-5p,1
hsa-miR-487a-5p,1
hsa-miR-487b-5p,1
hsa-miR-488-5p,1
hsa-miR-489-5p,1
hsa-miR-490-5p,1
hsa-miR-491-5p,1
hsa-miR-492,1
hsa-miR-493-5p,1
hsa-miR-494-5p,1
hsa-miR-495-5p,1
hsa-miR-496,1
hsa-miR-497-5p,1
hsa-miR-498,1
hsa-miR-4999-5p,1
hsa-miR-499a-5p,1
hsa-miR-499b-5p,1
hsa-miR-5000-5p,1
hsa-miR-5001-5p,1
hsa-miR-5002-5p,1
hsa-miR-5003-5p,1
hsa-miR-5004-5p,1
hsa-miR-5006-5p,1
hsa-miR-5007-5p,1
hsa-miR-5008-5p,1
hsa-miR-5009-5p,1
hsa-miR-500a-5p,1
hsa-miR-500b-5p,1
hsa-miR-501-5p,1
hsa-miR-5010-5p,1
hsa-miR-5011-5p,1
hsa-miR-502-5p,1
hsa-miR-503-5p,1
hsa-miR-504-5p,1
hsa-miR-5047,1
hsa-miR-505-5p,1
hsa-miR-506-5p,1
hsa-miR-507,1
hsa-miR-508-5p,1
hsa-miR-5087,1
hsa-miR-5088-5p,1
hsa-miR-5089-5p,1
hsa-miR-509-5p,1
hsa-miR-509-3-5p,1
hsa-miR-5090,1
hsa-miR-5091,1
hsa-miR-5092,1
hsa-miR-5093,1
hsa-miR-5094,1
